stationCode	stationName	lat	lng
S02390	BOSCHI S.ANNA	45.217328	11.362302
S09452	BOSCO REDOLE	41.459299	14.587884
S00882	BOSCONERO	45.267522	7.761787
S09754	BOSCOREALE	40.770786	14.48017
S11829	BOTRICELLO	38.933943	16.857433
S03057	BOTTENICCO	46.062141	13.371818
S11860	BOVA MARINA	37.930269	15.923897
S11854	BOVALINO	38.149087	16.180584
S09321	BOVINO DELICETO	41.27835	15.369255
S01085	BOVISIO MASCIAGO	45.611998	9.141423
S02363	BOVOLONE	45.254446	11.123862
S01920	BOZZOLO	45.107246	10.472655
S00821	BRA	44.693556	7.848643
S08315	BRACCIANO	42.103667	12.173023
S04803	BRAGNO	44.371679	8.304473
S11857	BRANCALEONE	37.965475	16.103301
S00231	BRANDIZZO	45.178915	7.841218
S00622	BREIL SUR ROYA	43.890267	7.530915
S01452	BRENNA-ALZATE	45.754044	9.183312
S02001	BRENNERO	47.004117	11.505711
S01005	BRENO	45.959216	10.305721
S05964	BRESCELLO-VIADANA	0.0	4.511256
S01717	BRESCIA	45.532315	10.212828
S01797	BRESCIA BORGO SAN GIOVANNI	45.543087	10.19086
S01813	BRESCIA EST PIAZZALE SUD	45.523316	10.212652
S17451	BRESCIA VIOLINO	45.550854	10.159419
S01930	BRESSANA ARGINE	45.072739	9.137038
S01805	BRESSANA BOTTARONE	45.086298	9.110602
S02014	BRESSANONE	46.710088	11.649677
S11757	BRIATICO	38.725447	16.025765
S00521	BRICHERASIO	44.824336	7.307513
S11136	BRINDISI	40.634339	17.938978
S11123	BRINDISI CITTADELLA DELLA RICERCA	41.109075	16.910149
S11451	BRINDISI DI MONTAGNA	40.611991	15.955795
S11137	BRINDISI MARITTIMA	40.633543	17.94863
S11139	BRINDISI PERRINO	40.634671	17.939215
S00113	BRIONA	45.538568	8.479541
S06614	BRISIGHELLA	44.220565	11.769757
S12031	BROLO FICARRA	38.159204	14.830176
S01944	BRONI	45.066263	9.258751
S02030	BRONZOLO	46.40505	11.315833
S00424	BROZOLO	45.121299	8.05893
S12153	BRUCA	37.946836	12.793178
S12344	BRUCOLI	37.272883	15.186876
S02107	BRUNICO	46.794922	11.929989
S02060	BRUNICO NORD	46.800728	11.936962
S00837	BRUNO	44.797947	8.439639
S00209	BRUZOLO DI SUSA	45.131032	7.201497
S09828	BUCCINO S.GREGORIO MAGNO	40.600806	15.374199
S06911	BUCINE	43.480478	11.617609
S03088	BUDOIA POLCENIGO	46.031464	12.537637
S05017	BUDRIO	0.0	4.511256
S05996	BUDRIO CENTRO	0.0	4.511256
S08538	BUGNARA	42.031166	13.862082
S06874	BUONCONVENTO	43.135503	11.483773
S12016	BUONFORNELLO	37.972052	13.816408
S00054	BURONZO	45.47179	8.2667
S02595	BUSA DI VIGONZA	45.429216	11.947733
S04215	BUSALLA	44.57558	8.943611
S00704	BUSCA	44.520585	7.481589
S02563	BUSCHE LENTIAI MEL	46.040092	11.979251
S01963	BUSSETO	44.974692	10.038909
S07704	BUSSI	42.194154	13.849075
S00208	BUSSOLENO	45.139631	7.144819
S01031	BUSTO ARSIZIO	45.616164	8.865031
S01137	BUSTO ARSIZIO NORD	45.606048	8.851449
S12406	BUTERA	37.145078	14.171691
S01482	BUTTAFAVA	45.62141	9.301185
S05301	BUTTAPIETRA	45.338787	10.988059
S03029	BUTTRIO	46.012664	13.329039
S05993	CA' DELL'ORBO	0.0	4.511256
S01088	CABIATE	45.675913	9.168547
S05006	CADEO	44.967283	9.853181
S01759	CADORAGO	45.729908	9.04114
S12891	CAGLIARI	39.216078	9.107984
S12890	CAGLIARI ELMAS	39.264193	9.045497
S12810	CAGLIARI S.GILLA	39.227794	9.096391
S09025	CAIAZZO	-9.019376	4.511247
S00879	CAIRO MONTENOTTE	44.394747	8.278786
S12851	CALA SABINA	41.011012	9.5881
S02550	CALALZO PIEVE CADORE CORTINA	46.443829	12.388668
S00833	CALAMANDRANA	44.738986	8.331572
S12321	CALATABIANO	37.814684	15.226568
S12151	CALATAFIMI	37.938858	12.856156
S06080	CALBENZANO	-9.019376	4.511247
S02307	CALCERANICA	46.007384	11.240713
S11455	CALCIANO	40.595117	16.202526
S01117	CALDE'	45.945812	8.663157
S05010	CALDERARA-BARGELLINO	44.544078	11.267446
S02437	CALDIERO	45.41407	11.169753
S02308	CALDONAZZO	45.997575	11.264815
S06417	CALENZANO	43.856429	11.14537
S09620	CALITRI PESCOPAGANO	40.884932	15.427962
S02047	CALLIANO	45.948299	11.076671
S01524	CALOLZIOCORTE OLGINATE	45.801619	9.42698
S11815	CALOPEZZATI	39.579022	16.819361
S12270	CALTAGIRONE	37.225276	14.521165
S12381	CALTANISSETTA CENTRALE	37.48829	14.057396
S12380	CALTANISSETTA XIRBI	37.536296	14.056902
S00020	CALTIGNAGA	45.519167	8.591602
S01503	CALUSCO	45.684113	9.470646
S00158	CALUSO	45.303194	7.902568
S01843	CALVISANO	45.346572	10.349411
S06043	CAMAIORE LIDO CAPEZZANO	43.912176	10.24765
S06804	CAMBIANO	43.631183	10.958997
S00456	CAMBIANO SANTENA	44.966491	7.773225
S07021	CAMERANO ASPIO	43.518969	13.525841
S12207	CAMMARATA S.GIOVANNI GEMINI	37.653759	13.673791
S01316	CAMNAGO-LENTATE	45.668425	9.133451
S04716	CAMOGLI S.FRUTTUOSO	44.348166	9.156743
S09825	CAMPAGNA SERRE PERSANO	40.595667	15.113986
S02837	CAMPAGNALUPIA - CAMPONOGARA	45.366785	12.093485
S07219	CAMPELLO SUL CLITUNNO	42.822814	12.761253
S13115	CAMPI SALENTINA	0.0	4.511256
S06031	CAMPIGLIA MARITTIMA	43.017118	10.586558
S08706	CAMPO DI CARNE	41.552116	12.635125
S08903	CAMPO DI GIOVE	42.007967	14.041492
S08919	CAMPO DI GIOVE-MONTE MAIELLA	41.993262	14.069088
S09626	CAMPO DI NUSCO	40.879143	15.129255
S02007	CAMPO DI TRENS	46.869076	11.488231
